Home Team,Away Team,Score,Half Time Score,Match Excitement,Home Team Rating,Away Team Rating,Home Team Possession %,Away Team Possession %,Home Team Off Target Shots,Home Team On Target Shots,Home Team Total Shots,Home Team Blocked Shots,Home Team Corners,Home Team Throw Ins,Home Team Pass Success %,Home Team Aerials Won,Home Team Clearances,Home Team Fouls,Home Team Yellow Cards,Home Team Second Yellow Cards,Home Team Red Cards,Away Team Off Target Shots,Away Team On Target Shots,Away Team Total Shots,Away Team Blocked Shots,Away Team Corners,Away Team Throw Ins,Away Team Pass Success %,Away Team Aerials Won,Away Team Clearances,Away Team Fouls,Away Team Yellow Cards,Away Team Second Yellow Cards,Away Team Red Cards
ESPANYOL,RAYO VALLECANO,2-1,0-1,6.1,6.4,5.5,61,39,8.0,5.0,15.0,2.0,6.0,22.0,84.0,16.0,19.0,11.0,0.0,0.0,0.0,3.0,3.0,9.0,3.0,2.0,13.0,75.0,18.0,49.0,19.0,2.0,0.0,0.0
GIRONA,HUESCA,0-2,0-2,4.9,5.7,6.8,66,34,5.0,7.0,13.0,1.0,13.0,27.0,81.0,26.0,13.0,9.0,2.0,1.0,0.0,0.0,6.0,6.0,0.0,2.0,18.0,67.0,29.0,58.0,18.0,1.0,0.0,0.0
LEGANÉS,REAL BETIS,3-0,2-0,4.7,7.8,4.8,32,68,10.0,4.0,16.0,2.0,4.0,7.0,78.0,10.0,21.0,22.0,4.0,0.0,0.0,1.0,1.0,3.0,1.0,4.0,22.0,86.0,9.0,13.0,11.0,2.0,0.0,1.0
VALENCIA,REAL SOCIEDAD,0-0,0-0,2.4,6.8,6.4,41,59,4.0,4.0,10.0,2.0,7.0,22.0,77.0,12.0,14.0,11.0,2.0,0.0,0.0,2.0,1.0,8.0,5.0,5.0,26.0,86.0,10.0,21.0,18.0,4.0,0.0,0.0
SEVILLA FC,EIBAR,2-2,0-1,7.6,5.8,6.2,58,42,7.0,4.0,13.0,2.0,9.0,20.0,77.0,33.0,24.0,11.0,3.0,1.0,0.0,2.0,4.0,8.0,2.0,7.0,24.0,66.0,25.0,30.0,7.0,2.0,0.0,0.0
ATHLETIC,BARCELONA,0-0,0-0,3.1,6.3,6.2,33,67,4.0,5.0,13.0,4.0,6.0,11.0,78.0,18.0,27.0,23.0,3.0,1.0,0.0,4.0,2.0,10.0,4.0,4.0,15.0,88.0,14.0,9.0,10.0,2.0,0.0,0.0
ALAVÉS,LEVANTE,2-0,1-0,4.3,6.6,5.7,47,53,9.0,4.0,16.0,3.0,3.0,24.0,70.0,32.0,39.0,14.0,3.0,0.0,0.0,3.0,0.0,8.0,5.0,10.0,25.0,66.0,16.0,16.0,18.0,2.0,0.0,0.0
EIBAR,GETAFE,2-2,0-1,6.6,6.0,5.8,58,42,4.0,6.0,11.0,1.0,3.0,45.0,59.0,46.0,32.0,13.0,2.0,0.0,0.0,2.0,4.0,7.0,1.0,3.0,30.0,51.0,40.0,44.0,12.0,1.0,0.0,0.0
CELTA,LEVANTE,1-4,0-2,7.6,4.8,7.5,57,43,4.0,7.0,14.0,3.0,5.0,24.0,82.0,7.0,12.0,12.0,1.0,0.0,1.0,3.0,8.0,14.0,3.0,7.0,10.0,81.0,9.0,26.0,17.0,1.0,0.0,0.0
RAYO VALLECANO,ATLETICO MADRID,0-1,0-0,3.2,6.6,6.8,49,51,5.0,6.0,12.0,1.0,4.0,21.0,75.0,13.0,19.0,10.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,6.0,26.0,73.0,21.0,20.0,14.0,1.0,0.0,0.0
